date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:04	31100/31100	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:05%20GMT	http://mppolytechnic.ac.in/	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/index.html	(from )
10:41:04	857/857	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Sep%202020%2005:11:05%20GMT	http://mppolytechnic.ac.in/robots.txt		(from )
10:41:05	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22e23f6-47e-5ae273febb338%22	http://mppolytechnic.ac.in/images/favicon.ico	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/images/favicon.ico	(from http://mppolytechnic.ac.in/)
10:41:08	17997/17997	---M--	200	added ('OK')	text/css	etag:%22e2548-464d-5ae277330e590%22	http://mppolytechnic.ac.in/layout/styles/layout.css	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/layout/styles/layout.css	(from http://mppolytechnic.ac.in/)
10:41:10	69727/69727	---M--	200	added ('OK')	text/css	etag:%22e2352-1105f-5ae2705eb82c5%22	http://mppolytechnic.ac.in/css/animate.min.css	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/css/animate.min.css	(from http://mppolytechnic.ac.in/)
10:41:12	2169/2169	---M-Z	403	error ('Forbidden')	text/html	date:Tue,%2008%20Sep%202020%2005:11:10%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/My%20Web%20Sites/mppolytechnic/translate.google.com/translate_a/element.4a0d8.delayed	(from http://mppolytechnic.ac.in/)
10:41:12	31100/31100	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:13%20GMT	http://mppolytechnic.ac.in/index.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/index-2.html	(from http://mppolytechnic.ac.in/)
10:41:18	59819/59819	---M--	200	added ('OK')	image/png	etag:%22e23f7-e9ab-5ae27401d6dce%22	http://mppolytechnic.ac.in/images/new-mpp.png	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/images/new-mpp.png	(from http://mppolytechnic.ac.in/)
10:41:19	32657/32657	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:20%20GMT	http://mppolytechnic.ac.in/mission-vision.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/mission-vision.html	(from http://mppolytechnic.ac.in/)
10:41:19	32640/32640	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:20%20GMT	http://mppolytechnic.ac.in/principal-msg.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/principal-msg.html	(from http://mppolytechnic.ac.in/)
10:41:20	19553/19553	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:21%20GMT	http://mppolytechnic.ac.in/chairman.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/chairman.html	(from http://mppolytechnic.ac.in/)
10:41:21	18581/18581	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:22%20GMT	http://mppolytechnic.ac.in/List-of-principal.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/List-of-principal.html	(from http://mppolytechnic.ac.in/)
10:41:21	40112/40112	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:23%20GMT	http://mppolytechnic.ac.in/commitee.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/commitee.html	(from http://mppolytechnic.ac.in/)
10:41:28	33244/33244	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:16%20GMT	http://mppolytechnic.ac.in/about-us.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/about-us.html	(from http://mppolytechnic.ac.in/)
10:41:29	20913/20913	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:30%20GMT	http://mppolytechnic.ac.in/academic-programmes.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/academic-programmes.html	(from http://mppolytechnic.ac.in/)
10:41:29	20164/20164	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:30%20GMT	http://mppolytechnic.ac.in/syllabus.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/syllabus.html	(from http://mppolytechnic.ac.in/)
10:41:31	588098/588098	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:31%20GMT	http://mppolytechnic.ac.in/online-study-material.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/online-study-material.html	(from http://mppolytechnic.ac.in/)
10:41:33	18495/18495	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:33%20GMT	http://mppolytechnic.ac.in/admission.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/admission.html	(from http://mppolytechnic.ac.in/)
10:41:33	18810/18810	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:34%20GMT	http://mppolytechnic.ac.in/fee-structure.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/fee-structure.html	(from http://mppolytechnic.ac.in/)
10:41:34	42103/42103	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:35%20GMT	http://mppolytechnic.ac.in/civil-department.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/civil-department.html	(from http://mppolytechnic.ac.in/)
10:41:35	42100/42100	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:36%20GMT	http://mppolytechnic.ac.in/electrical-department.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/electrical-department.html	(from http://mppolytechnic.ac.in/)
10:41:35	42101/42101	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:36%20GMT	http://mppolytechnic.ac.in/mechanical-department.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/mechanical-department.html	(from http://mppolytechnic.ac.in/)
10:41:36	42102/42102	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:37%20GMT	http://mppolytechnic.ac.in/mechanical-cad-department.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/mechanical-cad-department.html	(from http://mppolytechnic.ac.in/)
10:41:36	42101/42101	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:37%20GMT	http://mppolytechnic.ac.in/computer-science-department.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/computer-science-department.html	(from http://mppolytechnic.ac.in/)
10:41:37	42099/42099	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:38%20GMT	http://mppolytechnic.ac.in/electronics-department.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/electronics-department.html	(from http://mppolytechnic.ac.in/)
10:41:37	42105/42105	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:38%20GMT	http://mppolytechnic.ac.in/architecture-department.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/architecture-department.html	(from http://mppolytechnic.ac.in/)
10:41:38	42103/42103	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:39%20GMT	http://mppolytechnic.ac.in/marketing-sales-management.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/marketing-sales-management.html	(from http://mppolytechnic.ac.in/)
10:41:39	17910/17910	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:40%20GMT	http://mppolytechnic.ac.in/single-student-placement.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/single-student-placement.html	(from http://mppolytechnic.ac.in/)
10:41:39	37452/37452	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:40%20GMT	http://mppolytechnic.ac.in/hostel.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/hostel.html	(from http://mppolytechnic.ac.in/)
10:41:40	37446/37446	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:41%20GMT	http://mppolytechnic.ac.in/library.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/library.html	(from http://mppolytechnic.ac.in/)
10:41:40	37448/37448	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:41%20GMT	http://mppolytechnic.ac.in/sport.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/sport.html	(from http://mppolytechnic.ac.in/)
10:41:41	37450/37450	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:42%20GMT	http://mppolytechnic.ac.in/seminar.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/seminar.html	(from http://mppolytechnic.ac.in/)
10:41:41	37452/37452	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:42%20GMT	http://mppolytechnic.ac.in/power.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/power.html	(from http://mppolytechnic.ac.in/)
10:41:42	25309/25309	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:43%20GMT	http://mppolytechnic.ac.in/contact-us.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/contact-us.html	(from http://mppolytechnic.ac.in/)
10:41:43	25326/25326	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:43%20GMT	http://mppolytechnic.ac.in/map-location.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/map-location.html	(from http://mppolytechnic.ac.in/)
10:41:43	25327/25327	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:44%20GMT	http://mppolytechnic.ac.in/phone-directory.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/phone-directory.html	(from http://mppolytechnic.ac.in/)
10:41:44	25330/25330	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:11:45%20GMT	http://mppolytechnic.ac.in/feedback.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/feedback.html	(from http://mppolytechnic.ac.in/)
10:41:49	258570/258570	---M--	200	added ('OK')	image/png	etag:%22e2403-3f20a-5ae274393ba83%22	http://mppolytechnic.ac.in/images/logo/mahant-circle.png	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/images/logo/mahant-circle.png	(from http://mppolytechnic.ac.in/)
10:41:54	235793/235793	---M--	200	added ('OK')	application/pdf	etag:%22e2255-39911-5ae267f93273e%22	http://mppolytechnic.ac.in/attachment/EOA_AICTE/EOA_Report_2019-20.PDF	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/attachment/EOA_AICTE/EOA_Report_2019-20.pdf	(from http://mppolytechnic.ac.in/)
10:42:02	149413/149413	---M--	200	added ('OK')	image/jpeg	etag:%22e2408-247a5-5ae27447b0dce%22	http://mppolytechnic.ac.in/images/slider/slide1.jpg	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/images/slider/slide1.jpg	(from http://mppolytechnic.ac.in/)
10:42:03	117793/117793	---M--	200	added ('OK')	image/jpeg	etag:%22e2409-1cc21-5ae2744720931%22	http://mppolytechnic.ac.in/images/slider/slide2.jpg	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/images/slider/slide2.jpg	(from http://mppolytechnic.ac.in/)
10:42:11	138315/138315	---M--	200	added ('OK')	image/jpeg	etag:%22e240b-21c4b-5ae2744cd19e7%22	http://mppolytechnic.ac.in/images/slider/slide3.jpg	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/images/slider/slide3.jpg	(from http://mppolytechnic.ac.in/)
10:42:21	77387/77387	---M--	200	added ('OK')	image/jpeg	etag:%22e240d-12e4b-5ae2745145c42%22	http://mppolytechnic.ac.in/images/slider/slide6.jpg	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/images/slider/slide6.jpg	(from http://mppolytechnic.ac.in/)
10:42:22	24695/24695	---M-Z	200	added ('OK')	text/html	date:Tue,%2008%20Sep%202020%2005:12:23%20GMT	http://mppolytechnic.ac.in/grievance-submission.php	C:/My%20Web%20Sites/mppolytechnic/mppolytechnic.ac.in/grievance-submission.html	(from http://mppolytechnic.ac.in/)
